PUID,SOLUTION
11131,1
11132,0
11133,0
11134,0
11135,0
11136,0
11137,0
11138,1
11139,0
11140,0
11141,0
11376,0
11377,1
11378,0
11379,1
11380,0
11381,0
11382,0
11383,0
11384,0
11385,0
11386,0
11387,1
11388,0
11389,0
11390,0
11391,0
11392,1
11393,0
11394,0
11395,0
11396,0
11397,0
11398,0
11399,0
11400,0
11401,1
11402,0
11403,0
11404,0
11405,0
11406,1
11407,0
11408,0
11409,1
11410,0
11411,0
11412,0
11413,0
11414,0
11415,0
11416,0
11417,0
11418,0
11419,0
11420,0
11421,0
11422,0
11423,0
11424,0
11425,0
11426,0
11427,0
11428,1
11429,0
11430,0
11431,0
11668,0
11669,0
11670,0
11671,0
11672,0
11673,0
11674,0
11675,0
11676,0
11677,0
11678,0
11679,0
11680,0
11681,0
11682,0
11683,0
11684,0
11685,0
11686,0
11687,0
11688,0
11689,0
11690,0
11691,0
11692,0
11693,0
11694,0
11695,0
11696,0
11697,0
11698,0
11699,0
11700,1
11701,1
11702,1
11703,0
11704,1
11705,0
11706,0
11707,0
11708,0
11709,0
11710,0
11711,0
11712,0
11713,0
11714,0
11715,0
11716,0
11717,0
11718,0
11719,0
11720,0
11721,0
11957,0
11958,0
11959,0
11960,0
11961,1
11962,0
11963,0
11964,0
11965,0
11966,0
11967,0
11968,0
11969,0
11970,0
11971,0
11972,0
11973,0
11974,0
11975,0
11976,0
11977,0
11978,0
11979,0
11980,0
11981,1
11982,1
11983,0
11984,1
11985,0
11986,0
11987,1
11988,0
11989,0
11990,0
11991,1
11992,0
11993,0
11994,0
11995,0
11996,0
11997,0
11998,0
11999,0
12000,0
12001,0
12002,0
12003,1
12004,0
12005,0
12006,0
12007,0
12008,0
12009,0
12010,0
12011,0
12012,0
12247,0
12248,0
12249,0
12250,0
12251,0
12252,0
12253,0
12254,1
12255,1
12256,0
12257,0
12258,0
12259,0
12260,0
12261,0
12262,0
12263,0
12264,0
12265,1
12266,1
12267,1
12268,0
12269,0
12270,0
12271,0
12272,0
12273,0
12274,0
12275,1
12276,0
12277,0
12278,1
12279,0
12280,0
12281,0
12282,0
12283,1
12284,0
12285,0
12286,0
12287,0
12288,1
12289,0
12290,1
12291,0
12292,1
12293,0
12294,0
12295,0
12296,0
12297,0
12298,0
12299,0
12300,0
12301,0
12302,0
12537,0
12538,1
12539,0
12540,0
12541,0
12542,1
12543,0
12544,0
12545,0
12546,0
12547,0
12548,0
12549,0
12550,0
12551,0
12552,0
12553,0
12554,0
12555,0
12556,0
12557,1
12558,1
12559,0
12560,0
12561,0
12562,0
12563,0
12564,0
12565,0
12566,0
12567,0
12568,0
12569,1
12570,0
12571,0
12572,0
12573,0
12574,1
