id,cost,status,xloc,yloc,pu_val
226,1,0,147.255602209114,-17.9708644476685,1
227,1,0,147.39481119468002,-17.9727890833063,1
228,1,0,147.534023702126,-17.974594490367,1
229,1,0,147.67323950642,-17.9762806645371,1
230,1,0,147.81245838249902,-17.9778476017876,1
231,1,0,146.075222846987,-17.834886645952803,1
232,1,0,146.214284602831,-17.8378222591942,1
233,1,0,146.35335177905898,-17.840638783243502,1
234,1,0,146.49242415152202,-17.843336211384898,1
235,1,0,146.63150149601998,-17.845914537185898,1
236,1,0,146.770583588307,-17.8483737544976,1
237,1,0,146.909670204088,-17.850713857455002,1
238,1,0,147.048761119029,-17.8529348404767,1
239,1,0,147.187856108748,-17.8550366982649,1
240,1,0,147.326954948829,-17.857019425806,1
241,1,0,147.46605741481702,-17.85888301837,1
242,1,0,147.605163282219,-17.8606274715113,1
243,1,0,146.147417813559,-17.7215615395227,1
244,1,0,146.286374255819,-17.724435406945894,1
245,1,0,146.425335994027,-17.727190272890898,1
246,1,0,146.56430280453,-17.7298261307983,1
247,1,0,146.703274463626,-17.7323429743916,1
248,1,0,146.842250747568,-17.7347407976773,1
249,1,0,146.981231432561,-17.7370195949449,1
250,1,0,147.120216294771,-17.739179360767103,1
251,1,0,147.259205110321,-17.7412200899998,1
252,1,0,147.398197655296,-17.74314177778211,1
253,1,0,146.080656226083,-17.605271933026106,1
254,1,0,146.219502058785,-17.6082030543115,1
255,1,0,146.358353286653,-17.6110152684708,1
256,1,0,146.497209686579,-17.6137085688179,1
257,1,0,146.636071035405,-17.616282948949394,1
258,1,0,146.774937109928,-17.618738402744,1
259,1,0,146.913807686896,-17.6210749243628,1
260,1,0,147.052682543015,-17.623292508249396,1
261,1,0,147.19156145495,-17.62539114913,1
262,1,0,147.330444199328,-17.627370842013303,1
263,1,0,146.013999617101,-17.4889535114487,0
264,1,0,146.152734964603,-17.4919417972529,1
265,1,0,146.291475805996,-17.494811270205,1
266,1,0,146.430221918714,-17.497561923493098,1
267,1,0,146.568973080145,-17.5001937505874,1
268,1,0,146.707729067625,-17.5027067452393,1
269,1,0,146.846489658447,-17.5051009014823,1
270,1,0,146.985254629855,-17.5073762136314,1
271,1,0,147.124023759056,-17.5095326762836,1
272,1,0,145.947447763857,-17.3726063463831,0
273,1,0,146.086072750464,-17.375651707530402,1
274,1,0,146.224703329193,-17.3785783500215,0
275,1,0,146.363339278024,-17.3813862669196,1
276,1,0,146.501980374886,-17.384075451568698,1
277,1,0,146.640626397658,-17.3866458975938,1
278,1,0,146.779277124169,-17.389097598901202,1
279,1,0,146.917932332207,-17.391430549678,1
280,1,0,146.0195151941,-17.2593328567527,1
281,1,0,146.158035633927,-17.2623165796964,0
282,1,0,146.296561542142,-17.265181671040498,0
283,1,0,146.435092697215,-17.2679281240036,1
284,1,0,146.573628877563,-17.2705559320849,1
285,1,0,146.712169861558,-17.2730650890639,1
286,1,0,146.850715427521,-17.2754555890006,1
287,1,0,146.98926535373502,-17.2777274262356,1
288,1,0,145.95306207379102,-17.1429853163776,0
289,1,0,146.091472498422,-17.1460260308544,0
290,1,0,146.229888489241,-17.1489482076473,0
291,1,0,146.368309825254,-17.151751839850302,0
