FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry
59.0,,,,,,,170994007.184393,,,,,,,,,,,,,,"POLYGON ((16351428.826831318 -2163810.424827555, 16359311.421053484 -2159437.0755551625, 16367041.90577206 -2164074.1854743864, 16366893.641793212 -2173091.3764994056, 16359006.724029431 -2177471.2079113475, 16351272.394036332 -2172827.3578064432, 16351428.826831318 -2163810.424827555))"
60.0,,,,,,,83829330.4137591,,,,,,,,,,,,,,"POLYGON ((16367041.90577206 -2164074.1854743864, 16374920.654347857 -2159693.639190774, 16382655.449798873 -2164323.802326511, 16382515.355366701 -2173341.237579884, 16374632.295700025 -2177728.273823184, 16366893.641793212 -2173091.3764994056, 16367041.90577206 -2164074.1854743864))"
61.0,,,,,,,4504907.17433518,,,,,,,,,,,,,,"POLYGON ((16382655.449798873 -2164323.802326511, 16390530.339567125 -2159936.065342901, 16398269.433297606 -2164559.2742364323, 16398137.509102445 -2173576.939896024, 16390258.320716385 -2177971.1746115233, 16382515.355366701 -2173341.237579884, 16382655.449798873 -2164323.802326511))"
62.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16398269.433297606 -2164559.2742364323, 16406140.45111501 -2160164.352898582, 16413883.830649782 -2164780.600121527, 16413760.077341745 -2173798.4823610904, 16405884.773401814 -2178199.9091549423, 16398137.509102445 -2173576.939896024, 16398269.433297606 -2164559.2742364323))"
63.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16413883.830649782 -2164780.600121527, 16421750.963391049 -2160378.500809636, 16429498.616232846 -2164987.7789640697, 16429383.034421816 -2174005.8639534838, 16421511.628075395 -2178414.476397267, 16413760.077341745 -2173798.4823610904, 16413883.830649782 -2164780.600121527))"
64.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16429498.616232846 -2164987.7789640697, 16437361.850790827 -2160578.50809267, 16445113.764420414 -2165180.8098112713, 16445006.354676044 -2174199.083716798, 16437138.85905225 -2178614.8753476227, 16429383.034421816 -2174005.8639534838, 16429498.616232846 -2164987.7789640697))"
65.0,,,,,,,,12442053.5150882,,,,,,,,,,,,,"POLYGON ((16445113.764420414 -2165180.8098112713, 16452973.087706234 -2160764.3738291017, 16460729.24958254 -2165359.6917752977, 16460630.01243422 -2174378.1407598304, 16452766.440643784 -2178801.1050804392, 16445006.354676044 -2174199.083716798, 16445113.764420414 -2165180.8098112713))"
66.0,,,,,,,,131509175.444654,,,,,,,,,519802.944733694,,,,"POLYGON ((16460729.24958254 -2165359.6917752977, 16468584.648525726 -2160936.097165219, 16476345.046085946 -2165524.424033297, 16476253.98202282 -2174543.0342565984, 16468394.34715794 -2178973.1647354937, 16460630.01243422 -2174378.1407598304, 16460729.24958254 -2165359.6917752977))"
67.0,,,,,,,,174457032.529876,,,,,,,,,13186311.3572547,,,,"POLYGON ((16476345.046085946 -2165524.424033297, 16484196.507634563 -2161093.6773121734, 16491961.128294302 -2165675.005827442, 16491878.237765243 -2174693.7634463958, 16484022.552899465 -2179131.0535179377, 16476253.98202282 -2174543.0342565984, 16476345.046085946 -2165524.424033297))"
68.0,,,,,,,,173983507.394132,,,,,,,,,13660023.8399314,,,,"POLYGON ((16491961.128294302 -2165675.005827442, 16499808.639415072 -2161237.113546012, 16507577.47056845 -2165811.4364649253, 16507502.753982063 -2174830.3276337846, 16499651.03217014 -2179274.770698308, 16491878.237765243 -2174693.7634463958, 16491961.128294302 -2165675.005827442))"
69.0,,,,,,,,32496692.6315065,,,,,,,,,125679074.515237,,,,"POLYGON ((16507577.47056845 -2165811.4364649253, 16515421.018246895 -2161366.405207713, 16523194.047266673 -2165933.715317999, 16523127.504991282 -2174952.7261886257, 16515279.759269053 -2179404.315612563, 16507502.753982063 -2174830.3276337846, 16507577.47056845 -2165811.4364649253))"
70.0,,,,,,,5174211.97129309,,,,,31958236.8666717,,,,,,,,,"POLYGON ((16281465.808529545 -2148932.7557929945, 16289359.281173464 -2144594.676973021, 16297064.246176315 -2149259.6692881742, 16296879.518889366 -2158269.4707016335, 16288981.674046516 -2162613.9695114694, 16281272.928999037 -2157942.2386071067, 16281465.808529545 -2148932.7557929945))"
71.0,,,,,,,138080893.150544,,,,,43080003.5522009,,,,,,,,,"POLYGON ((16297064.246176315 -2149259.6692881742, 16304953.93831487 -2144914.376554407, 16312663.262749128 -2149572.4655624866, 16312486.688614193 -2158582.57184764, 16304592.636596832 -2162934.292566051, 16296879.518889366 -2158269.4707016335, 16297064.246176315 -2149259.6692881742))"
72.0,,,,,,,186729216.284168,,,,,,,892893.726097735,,,,,,,"POLYGON ((16312663.262749128 -2149572.4655624866, 16320549.161173735 -2145219.965039876, 16328262.832716485 -2149871.143185135, 16328094.412602002 -2158881.540608892, 16320204.16664151 -2163240.4770638803, 16312486.688614193 -2158582.57184764, 16312663.262749128 -2149572.4655624866))"
73.0,,,,,,,144188624.668981,,,,,,,204488.791362085,,,,,,,"POLYGON ((16328262.832716485 -2149871.143185135, 16336144.924235798 -2145511.4410334416, 16343862.930541456 -2150155.7007896597, 16343702.665275823 -2159166.375613743, 16335816.238586223 -2163532.5215983423, 16328094.412602002 -2158881.540608892, 16328262.832716485 -2149871.143185135))"
74.0,,,,,,,50118150.7504014,,,,,,,,,,,,,,"POLYGON ((16343862.930541456 -2150155.7007896597, 16351741.201981489 -2145788.8032033616, 16359463.530681912 -2150426.1370739834, 16359311.421053484 -2159437.0755551625, 16351428.826831318 -2163810.424827555, 16343702.665275823 -2159166.375613743, 16343862.930541456 -2150155.7007896597))"
75.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16359463.530681912 -2150426.1370739834, 16367337.968886182 -2146052.050282153, 16375064.607590798 -2150682.4508004286, 16374920.654347857 -2159693.639190774, 16367041.90577206 -2164074.1854743864, 16359311.421053484 -2159437.0755551625, 16359463.530681912 -2150426.1370739834))"
76.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16375064.607590798 -2150682.4508004286, 16382935.199420445 -2146301.1810666565, 16390666.135716364 -2150924.640795779, 16390530.339567125 -2159936.065342901, 16382655.449798873 -2164323.802326511, 16374920.654347857 -2159693.639190774, 16375064.607590798 -2150682.4508004286))"
77.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16390666.135716364 -2150924.640795779, 16398532.868050287 -2146536.1944180485, 16406268.089502424 -2151152.7059512907, 16406140.45111501 -2160164.352898582, 16398269.433297606 -2164559.2742364323, 16390530.339567125 -2159936.065342901, 16390666.135716364 -2150924.640795779))"
